ID
    US10787400B2
citation_exist
    Patent Citations (518)
citation_infor
520
    Publication number,Priority date,Publication date,Assignee,Title
    US20160318828A1,2015-04-30,2016-11-03,Exxonmobil Chemical Patents Inc.,Catalytic Alkane Dehydrogenation
    WO2016205411A2,2015-06-16,2016-12-22,Siluria Technologies, Inc.,Ethylene-to-liquids systems and methods
    WO2016210006A2,2015-06-22,2016-12-29,Exelus, Inc.,Improved catalyzed alkylation, alkylation catalysts, and methods of making alkylation catalysts
    US20160376148A1,2015-06-23,2016-12-29,Sabic Global Technologies, B.V.,Method for Producing Hydrocarbons by Oxidative Coupling of Methane without Catalyst
    US20170014807A1,2015-07-15,2017-01-19,Sabic Global Technologies, B.V.,Silver Promoted Catalysts for Oxidative Coupling of Methane
    WO2017065947A1,2015-10-16,2017-04-20,Siluria Technologies, Inc.,Separation methods and systems for oxidative coupling of methane
    US20170106327A1,2014-05-19,2017-04-20,Shell Oil Company,Process for recovering methane from a gas stream comprising methane and ethylene
    US9682900B2,2013-12-06,2017-06-20,Exxonmobil Chemical Patents Inc.,Hydrocarbon conversion
    US20170190638A1,2016-01-04,2017-07-06,Sabic Global Technologies, B.V.,Ethylbenzene Production with Ethylene from Oxidative Coupling of Methane
    US20170247803A1,2011-12-02,2017-08-31,Bio2Electric, Llc,Reactor, process, and system for the oxidation of gaseous streams
    US20170267605A1,2016-03-16,2017-09-21,Siluria Technologies, Inc.,Catalysts and methods for natural gas processes
    WO2017180910A1,2016-04-13,2017-10-19,Siluria Technologies, Inc.,Oxidative coupling of methane for olefin production
    US20170320793A1,2014-12-05,2017-11-09,Linde Aktiengesellschaft,Method and apparatus for producing hydrocarbons
    WO2018009356A1,2016-07-06,2018-01-11,Sabic Global Technologies B.V.,Enhanced selectivity to c2+hydrocarbons by addition of hydrogen in feed to oxidative coupling of methane
    US9950971B2,2014-07-23,2018-04-24,Exxonmobil Chemical Patents Inc.,Process and catalyst for methane conversion to aromatics
    WO2018085820A1,2016-11-07,2018-05-11,Sabic Global Technologies, B.V.,Sr-Ce-Yb-O CATALYSTS FOR OXIDATIVE COUPLING OF METHANE
    US9975767B2,2014-03-04,2018-05-22,Johnson Matthey Public Limited Company,Catalyst arrangement
    WO2018102601A1,2016-12-02,2018-06-07,Siluria Technologies, Inc.,Ethylene-to-liquids systems and methods
    US20180162785A1,2015-06-08,2018-06-14,Sabic Global Technologies B.V.,Low inlet temperature for oxidative coupling of methane
    US20180169561A1,2016-12-19,2018-06-21,Siluria Technologies, Inc.,Methods and systems for performing chemical separations
    US20180179125A1,2015-03-17,2018-06-28,Siluria Technologies, Inc.,Oxidative coupling of methane methods and systems
    WO2018114900A1,2016-12-20,2018-06-28,Shell Internationale Research Maatschappij B.V.,Oxidative dehydrogenation (odh) of ethane
    US20180272303A1,2015-09-14,2018-09-27,Nova Chemicals (International) S.A.,Heat dissipating diluent in fixed bed reactors
    US20180282658A1,2015-08-26,2018-10-04,Jxtg Nippon Oil & Energy Corporation,Method for manufacturing lubricant base oil
    US20180305274A1,2014-01-09,2018-10-25,Siluria Technologies, Inc.,Reactors and systems for oxidative coupling of methane
    US20180305273A1,2015-06-16,2018-10-25,Siluria Technologies, Inc.,Ethylene-to-liquids systems and methods
    US20180353940A1,2015-06-08,2018-12-13,Sabic Global Technoligies B.V.,Methane oxidative coupling with la-ce catalysts
    WO2019010498A1,2017-07-07,2019-01-10,Siluria Technologies, Inc.,Systems and methods for the oxidative coupling of methane
    WO2019055220A1,2017-09-15,2019-03-21,Exxonmobil Research And Engineering Company,Modified trilobe and quadrilobe shaped catalyst extrudates
    US20190143288A1,2016-04-29,2019-05-16,Dalian Institute Of Chemical Physics, Chinese Academy Of Sciences,Catalytic reactor configuration, preparation and method of direct synthesis of ethylene through oxygen-free catalysis of methane
    US20190169090A1,2016-08-01,2019-06-06,Sabic Global Teehnologies, B.V.,Oxidative Coupling of Methane Process with Enhanced Selectivity to C2+ Hydrocarbons by Addition of H2O in the Feed
    US20190389788A1,2017-01-31,2019-12-26,Sabic Global Technologies, B.V.,A Process for Oxidative Conversion of Methane to Ethylene
    Family To Family Citations,,,,
    GB733236A,1952-12-04,1955-07-06,Drake And Fletcher Ltd,Improvements in and relating to spray booms for agricultural purposes
    US9993529B2                      *,2011-06-17,2018-06-12,Halozyme, Inc.,Stable formulations of a hyaluronan-degrading enzyme

non_patent_citation_exist
    
              Non-Patent Citations (220)
              


citedBy_exist
    
              Cited By (33)
              


citedBy_infor
35
    Publication number,Priority date,Publication date,Assignee,Title
    US10960343B2,2016-12-19,2021-03-30,Lummus Technology Llc,Methods and systems for performing chemical separations
    US11001543B2,2015-10-16,2021-05-11,Lummus Technology Llc,Separation methods and systems for oxidative coupling of methane
    US11001542B2,2017-05-23,2021-05-11,Lummus Technology Llc,Integration of oxidative coupling of methane processes
    US11008265B2,2014-01-09,2021-05-18,Lummus Technology Llc,Reactors and systems for oxidative coupling of methane
    US11168038B2,2012-12-07,2021-11-09,Lummus Technology Llc,Integrated processes and systems for conversion of methane to multiple higher hydrocarbon products
    US11186529B2,2015-04-01,2021-11-30,Lummus Technology Llc,Advanced oxidative coupling of methane
    US11208364B2,2014-01-09,2021-12-28,Lummus Technology Llc,Oxidative coupling of methane implementations for olefin production
    US11242298B2,2012-07-09,2022-02-08,Lummus Technology Llc,Natural gas processing and systems
    US11254627B2,2014-01-08,2022-02-22,Lummus Technology Llc,Ethylene-to-liquids systems and methods
    US11254626B2,2012-01-13,2022-02-22,Lummus Technology Llc,Process for separating hydrocarbon compounds
    US11407695B2,2013-11-27,2022-08-09,Lummus Technology Llc,Reactors and systems for oxidative coupling of methane
    US11505514B2,2016-04-13,2022-11-22,Lummus Technology Llc,Oxidative coupling of methane for olefin production
    US11542214B2,2015-03-17,2023-01-03,Lummus Technology Llc,Oxidative coupling of methane methods and systems
    Family To Family Citations,,,,
    WO2013177433A2,2012-05-24,2013-11-28,Siluria Technologies, Inc.,Oxidative coupling of methane systems and methods
    US9334204B1,2015-03-17,2016-05-10,Siluria Technologies, Inc.,Efficient oxidative coupling of methane processes and systems
    US9328297B1,2015-06-16,2016-05-03,Siluria Technologies, Inc.,Ethylene-to-liquids systems and methods
    EP3248662A1                      *,2016-05-24,2017-11-29,Linde Aktiengesellschaft,Method for obtaining drinking water, irrigation and/or process water
    US20180186707A1,2016-12-02,2018-07-05,Siluria Technologies, Inc.,Ethylene-to-liquids systems and methods
    CA3048965C,2016-12-29,2021-11-02,Uop Llc,Process for recovering heat from a hydrocarbon separation
    WO2018144370A1,2017-01-31,2018-08-09,Sabic Global Technologies, B.V.,A process for oxidative conversion of methane to ethylene
    US10836689B2,2017-07-07,2020-11-17,Lummus Technology Llc,Systems and methods for the oxidative coupling of methane
    EP3431461A1                      *,2017-07-21,2019-01-23,Linde Aktiengesellschaft,Method and device for manufacturing olefins
    CN107401433A                      *,2017-09-12,2017-11-28,柳州市隆兴模具技术有限公司,A kind of WHRS for quenching cooling oil
    AR113267A1                      *,2017-10-10,2020-03-11,Dow Global Technologies Llc,PROCESSES TO IMPROVE EFFICIENCY IN HYDROCARBON PRODUCTION
    DE102018002086A1                      *,2018-03-09,2019-09-12,Borsig Gmbh,quench
    EP3847143B1,2018-09-04,2023-06-28,Nextchem S.P.A.,Process for the conversion of plastics into olefins
    US20220048003A1                      *,2018-09-27,2022-02-17,Maat Energy Company,Process For Recovering Heat At High Temperatures In Plasma Reforming Systems
    CN111747811B                      *,2019-03-27,2023-04-07,中国石油化工股份有限公司,Process for oxidative coupling of methane
    CN111747808B                      *,2019-03-27,2023-03-24,中国石油化工股份有限公司,Method for producing hydrocarbon by using fluidization technology
    US20230135324A1                      *,2020-04-09,2023-05-04,Technip Energies France Sas,Ultra-low emission ethylene plant
    US11608787B2                      *,2020-09-08,2023-03-21,Southwest Research Institute,Internal combustion engine having carbon dioxide capture and fuel additive synthesis system
    CA3138540A1                      *,2020-11-13,2022-05-13,Lummus Technology Llc,Methods and systems for converting carbon oxides to olefins
    US11674419B1,2021-11-24,2023-06-13,Saudi Arabian Oil Company,Engine system with catalytic reactor

abstract
    The present disclosure provides oxidative coupling of methane (OCM) systems for small scale and world scale production of olefins. An OCM system may comprise an OCM subsystem that generates a product stream comprising C2+ compounds and non-C2+ impurities from methane and an oxidizing agent. At least one separations subsystem downstream of, and fluidically coupled to, the OCM subsystem can be used to separate the non-C2+ impurities from the C2+ compounds. A methanation subsystem downstream and fluidically coupled to the OCM subsystem can be used to react H2 with CO and/or CO2 in the non-C2+ impurities to generate methane, which can be recycled to the OCM subsystem. The OCM system can be integrated in a non-OCM system, such as a natural gas liquids system or an existing ethylene cracker.
title
    Efficient oxidative coupling of methane processes and systems
similar_document
10
    Publication,Publication Date,Title
    US11208364B2,2021-12-28,Oxidative coupling of methane implementations for olefin production
    US20210024438A1,2021-01-28,Efficient oxidative coupling of methane processes and systems
    US11008265B2,2021-05-18,Reactors and systems for oxidative coupling of methane
    US20180215682A1,2018-08-02,Efficient oxidative coupling of methane processes and systems
    US11254626B2,2022-02-22,Process for separating hydrocarbon compounds
    EP3630707B1,2023-09-06,Integration of oxidative coupling of methane processes
    AU2006324972B2,2012-04-12,Production of hydrocarbons from natural gas
    US20180155192A1,2018-06-07,Fischer-tropsch based gas to liquids systems and methods
    RU2767522C2,2022-03-17,Method and apparatus for converting ethylene present in head stream from fcc plant in order to increase propylene production

patent_application
2
    Application,Priority date,Filing date,Relation,Title
    US15/341,551,2015-03-17,2016-11-02,Continuation,Efficient oxidative coupling of methane processes and systems

patent_priority_application
3
    Application,Priority date,Filing date,Title
    US15/699,798,2015-03-17,2017-09-08,Efficient oxidative coupling of methane processes and systems
    US17/034,160,2015-03-17,2020-09-28,Efficient oxidative coupling of methane processes and systems

inventor_number
    9
classfication_nums
    29
classfication_items
191
    C
    C,0,7
    C,0,7,C
    C,0,7,C,2,/,0,0
    C,0,7,C,2,/,7,6
    C,0,7,C,2,/,8,2
    C,0,7,C,2,/,8,4
    B
    B,0,1
    B,0,1,J
    B,0,1,J,8,/,0,0
    B,0,1,J,8,/,0,0,1
    B
    B,0,1
    B,0,1,J
    B,0,1,J,8,/,0,0
    B,0,1,J,8,/,0,2
    B,0,1,J,8,/,0,4
    B,0,1,J,8,/,0,4,4,6
    B,0,1,J,8,/,0,4,4,9
    B,0,1,J,8,/,0,4,5,7
    B
    B,0,1
    B,0,1,J
    B,0,1,J,8,/,0,0
    B,0,1,J,8,/,0,2
    B,0,1,J,8,/,0,4
    B,0,1,J,8,/,0,4,9,2
    B
    B,0,1
    B,0,1,J
    B,0,1,J,8,/,0,0
    B,0,1,J,8,/,0,2
    B,0,1,J,8,/,0,4
    B,0,1,J,8,/,0,4,9,6
    C
    C,0,7
    C,0,7,C
    C,0,7,C,1,/,0,0
    C,0,7,C,1,/,0,2
    C,0,7,C,1,/,0,4
    C
    C,0,7
    C,0,7,C
    C,0,7,C,1,/,0,0
    C,0,7,C,1,/,0,2
    C,0,7,C,1,/,0,4
    C,0,7,C,1,/,0,4,2,5
    C
    C,0,7
    C,0,7,C
    C,0,7,C,1,/,0,0
    C,0,7,C,1,/,0,2
    C,0,7,C,1,/,1,2
    C
    C,0,7
    C,0,7,C
    C,0,7,C,1,1,/,0,0
    C,0,7,C,1,1,/,0,2
    C,0,7,C,1,1,/,0,4
    C
    C,0,7
    C,0,7,C
    C,0,7,C,4,/,0,0
    C,0,7,C,4,/,0,2
    C,0,7,C,4,/,0,4
    C
    C,0,7
    C,0,7,C
    C,0,7,C,5,/,0,0
    C,0,7,C,5,/,3,2
    C,0,7,C,5,/,3,2,7
    C
    C,0,7
    C,0,7,C
    C,0,7,C,9,/,0,0
    C,0,7,C,9,/,0,2
    C,0,7,C,9,/,0,4
    C
    C,1,0
    C,1,0,G
    C,1,0,G,5,0,/,0,0
    F
    F,0,1
    F,0,1,K
    F,0,1,K,2,7,/,0,0
    F,0,1,K,2,7,/,0,2
    F
    F,0,1
    F,0,1,K
    F,0,1,K,5,/,0,0
    B
    B,0,1
    B,0,1,J
    B,0,1,J,2,2,0,8,/,0,0
    B,0,1,J,2,2,0,8,/,0,0,0,0,8
    B
    B,0,1
    B,0,1,J
    B,0,1,J,2,2,0,8,/,0,0
    B,0,1,J,2,2,0,8,/,0,0,0,0,8
    B,0,1,J,2,2,0,8,/,0,0,0,1,7
    B
    B,0,1
    B,0,1,J
    B,0,1,J,2,2,0,8,/,0,0
    B,0,1,J,2,2,0,8,/,0,0,0,0,8
    B,0,1,J,2,2,0,8,/,0,0,0,1,7
    B,0,1,J,2,2,0,8,/,0,0,1,0,6
    B,0,1,J,2,2,0,8,/,0,0,1,6,8
    B,0,1,J,2,2,0,8,/,0,0,1,7,6
    B
    B,0,1
    B,0,1,J
    B,0,1,J,2,2,0,8,/,0,0
    B,0,1,J,2,2,0,8,/,0,0,0,0,8
    B,0,1,J,2,2,0,8,/,0,0,0,1,7
    B,0,1,J,2,2,0,8,/,0,0,1,0,6
    B,0,1,J,2,2,0,8,/,0,0,1,6,8
    B,0,1,J,2,2,0,8,/,0,0,2,5,6
    B
    B,0,1
    B,0,1,J
    B,0,1,J,2,2,0,8,/,0,0
    B,0,1,J,2,2,0,8,/,0,0,0,0,8
    B,0,1,J,2,2,0,8,/,0,0,0,1,7
    B,0,1,J,2,2,0,8,/,0,0,1,0,6
    B,0,1,J,2,2,0,8,/,0,0,2,6,5
    B,0,1,J,2,2,0,8,/,0,0,2,8,3
    B
    B,0,1
    B,0,1,J
    B,0,1,J,2,2,0,8,/,0,0
    B,0,1,J,2,2,0,8,/,0,0,0,0,8
    B,0,1,J,2,2,0,8,/,0,0,0,1,7
    B,0,1,J,2,2,0,8,/,0,0,1,0,6
    B,0,1,J,2,2,0,8,/,0,0,3,0,9
    B
    B,0,1
    B,0,1,J
    B,0,1,J,2,2,0,8,/,0,0
    B,0,1,J,2,2,0,8,/,0,0,0,0,8
    B,0,1,J,2,2,0,8,/,0,0,0,1,7
    B,0,1,J,2,2,0,8,/,0,0,4,7,7
    B,0,1,J,2,2,0,8,/,0,0,4,9,5
    B
    B,0,1
    B,0,1,J
    B,0,1,J,2,2,0,8,/,0,0
    B,0,1,J,2,2,0,8,/,0,0,0,0,8
    B,0,1,J,2,2,0,8,/,0,0,0,1,7
    B,0,1,J,2,2,0,8,/,0,0,5,3
    B
    B,0,1
    B,0,1,J
    B,0,1,J,2,2,0,8,/,0,0
    B,0,1,J,2,2,0,8,/,0,2
    B,0,1,J,2,2,0,8,/,0,2,3
    B,0,1,J,2,2,0,8,/,0,2,4
    B,0,1,J,2,2,0,8,/,0,2,5
    B
    B,0,1
    B,0,1,J
    B,0,1,J,2,2,0,8,/,0,0
    B,0,1,J,2,2,0,8,/,0,2
    B,0,1,J,2,2,0,8,/,0,2,3
    B,0,1,J,2,2,0,8,/,0,2,4
    B,0,1,J,2,2,0,8,/,0,2,6
    B
    B,0,1
    B,0,1,J
    B,0,1,J,2,2,1,9,/,0,0
    B,0,1,J,2,2,1,9,/,0,0,0,0,2
    B,0,1,J,2,2,1,9,/,0,0,0,0,4
    B,0,1,J,2,2,1,9,/,0,0,0,0,6
    C
    C,1,0
    C,1,0,G
    C,1,0,G,2,3,0,0,/,0,0
    C,1,0,G,2,3,0,0,/,1,0
    C,1,0,G,2,3,0,0,/,1,0,2,5
    C
    C,1,0
    C,1,0,G
    C,1,0,G,2,4,0,0,/,0,0
    C,1,0,G,2,4,0,0,/,0,2
    C
    C,1,0
    C,1,0,G
    C,1,0,G,2,4,0,0,/,0,0
    C,1,0,G,2,4,0,0,/,0,4

application_events
7
    2017-09-08,Application filed by Lummus Technology Inc
    2017-09-08,Priority to US15/699,798
    2018-08-09,Publication of US20180222818A1
    2020-09-29,Application granted
    2020-09-29,Publication of US10787400B2
    Status,Active
    2035-07-01,Anticipated expiration

active_area
4
    U,S
    U,S
    U,S
    U,S

not_active_area
1
    U,S

patent_application_claiming_priority
7
    Application,Filing date,Title
    US201562134508P,2015-03-17,
    US201562152706P,2015-04-24,
    US14/789,953,2015-07-01,Efficient oxidative coupling of methane processes and systems
    US15/076,480,2016-03-21,Efficient oxidative coupling of methane processes and systems
    US15/341,551,2016-11-02,Efficient oxidative coupling of methane processes and systems
    US15/699,798,2017-09-08,Efficient oxidative coupling of methane processes and systems

legal_event
10
    Date,Code,Title,Description
    2017-09-08,FEPP,Fee payment procedure,Free format text: ENTITY STATUS SET TO UNDISCOUNTED (ORIGINAL EVENT CODE: BIG.); ENTITY STATUS OF PATENT OWNER: LARGE ENTITY
    2017-09-11,AS,Assignment,Owner name: SILURIA TECHNOLOGIES, INC., CALIFORNIAFree format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNORS:RADAELLI, GUIDO;RAFIQUE, HUMERA A.;VUDDAGIRI, SRINIVAS;AND OTHERS;SIGNING DATES FROM 20150715 TO 20150720;REEL/FRAME:043542/0679
    2018-05-02,STPP,Information on status: patent application and granting procedure in general,Free format text: DOCKETED NEW CASE - READY FOR EXAMINATION
    2019-04-26,STPP,Information on status: patent application and granting procedure in general,Free format text: NON FINAL ACTION MAILED
    2019-07-30,AS,Assignment,Owner name: LUMMUS TECHNOLOGY LLC, TEXASFree format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNOR:SILURIA TECHNOLOGIES, INC.;REEL/FRAME:049902/0546Effective date: 20190715
    2019-11-02,STPP,Information on status: patent application and granting procedure in general,Free format text: RESPONSE TO NON-FINAL OFFICE ACTION ENTERED AND FORWARDED TO EXAMINER
    2020-01-29,STPP,Information on status: patent application and granting procedure in general,Free format text: NOTICE OF ALLOWANCE MAILED -- APPLICATION RECEIVED IN OFFICE OF PUBLICATIONS
    2020-08-27,AS,Assignment,Owner name: SILURIA (ASSIGNMENT FOR THE BENEFIT OF CREDITORS), LLC, CALIFORNIAFree format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNOR:SILURIA TECHNOLOGIES, INC.;REEL/FRAME:053610/0123Effective date: 20190520Owner name: LUMMUS TECHNOLOGY LLC, TEXASFree format text: CORRECTIVE ASSIGNMENT TO CORRECT THE CONVEYING PARTY DATA PREVIOUSLY RECORDED AT REEL: 049902 FRAME: 0546. ASSIGNOR(S) HEREBY CONFIRMS THE ASSIGNMENT;ASSIGNOR:SILURIA (ASSIGNMENT FOR THE BENEFIT OF CREDITORS), LLC;REEL/FRAME:053610/0077Effective date: 20190715
    2020-09-09,STCF,Information on status: patent grant,Free format text: PATENTED CASE

