ID
    US11286939B2
citation_exist
    Patent Citations (596)
citation_infor
598
    Publication number,Priority date,Publication date,Assignee,Title
    US20160221855A1,2015-02-04,2016-08-04,Pyrotek, Inc.,Glass forming apparatus
    US20160265535A1,2015-02-02,2016-09-15,Molten Metal Equipment Innovations, Llc,Molten metal rotor with hardened blade tips
    US9481918B2,2013-10-15,2016-11-01,Pyrotek, Inc.,Impact resistant scrap submergence device
    US9494366B1,2015-06-25,2016-11-15,Bruno Thut,System and method for pumping molten metal and melting metal scrap
    US20160346836A1,2014-02-04,2016-12-01,Pyrotek, Inc.,Adjustable flow overflow vortex transfer system
    US20170056973A1,2015-03-26,2017-03-02,Pyrotek High-Temperature Industrial Products Inc.,Heated control pin
    US20170106441A1,2015-10-20,2017-04-20,Pyrotek Engineering Materials Limited,Metal transfer device
    US20170106435A1,2015-10-20,2017-04-20,Pyrotek Engineering Materials Limited,Caster tip for a continuous casting process
    US20170130298A1,2013-10-04,2017-05-11,Sanken Sangyo Co., Ltd.,Nonferrous metal melting furnace and method for melting nonferrous metal
    US20170198721A1,2016-01-13,2017-07-13,Molten Metal Equipment Innovations, Llc,Tensioned support shaft and other molten metal devices
    US20170219289A1,2014-08-04,2017-08-03,Pyrotek, Inc.,Apparatus for refining molten aluminum alloys
    US20170241713A1,2014-08-14,2017-08-24,Protek, Inc.,Advanced material for molten metal processing equipment
    US20170246681A1,2014-09-26,2017-08-31,Pyrotek, Inc.,Mold pump
    US10072897B2,2014-01-17,2018-09-11,Joulia Ag,Heat exchanger for a shower or bathtub
    US20190293089A1,2017-11-17,2019-09-26,Molten Metal Equipment Innovations, Llc,Tensioned support post and other molten metal devices
    US20190351481A1,2016-06-21,2019-11-21,Pyrotek, Inc.,Multi-chamber molten metal pump
    US20200360989A1,2019-05-17,2020-11-19,Molten Metal Equipment Innovations, Llc,Molten metal controlled flow launder
    Family To Family Citations,,,,
    US858188A,1906-09-22,1907-06-25,Alexandre G Laurent,Hand fire-extinguishing apparatus.
    JPS57339B2,1974-04-10,1982-01-06,,
    JPH05112837A,1991-10-18,1993-05-07,Mitsui Mining & Smelting Co Ltd,Device for dispersing bubbles in molten metal degassing furnace
    US20110227338A1                      *,2010-03-22,2011-09-22,Jack Pollack,Sealed pipe joint
    US8684419B2                      *,2012-08-24,2014-04-01,Vetco Gray Inc.,Tubular connector having a secondary shoulder
    US9388925B2                      *,2013-02-05,2016-07-12,Ultra Premium Oilfield Services, Ltd,Tubular connection center shoulder seal

non_patent_citation_exist
    
              Non-Patent Citations (443)
              


citedBy_exist
    
              Cited By (25)
              


citedBy_infor
27
    Publication number,Priority date,Publication date,Assignee,Title
    US20220213895A1                      *,2014-07-02,2022-07-07,Molten Metal Equipment Innovations, Llc,Rotor and rotor shaft for molten metal
    US11759854B2,2007-06-21,2023-09-19,Molten Metal Equipment Innovations, Llc,Molten metal transfer structure and method
    Family To Family Citations,,,,
    US20070253807A1,2006-04-28,2007-11-01,Cooper Paul V,Gas-transfer foot
    US9205490B2,2007-06-21,2015-12-08,Molten Metal Equipment Innovations, Llc,Transfer well system and method for making same
    US9643247B2,2007-06-21,2017-05-09,Molten Metal Equipment Innovations, Llc,Molten metal transfer and degassing system
    US8366993B2,2007-06-21,2013-02-05,Cooper Paul V,System and method for degassing molten metal
    US9409232B2,2007-06-21,2016-08-09,Molten Metal Equipment Innovations, Llc,Molten metal transfer vessel and method of construction
    US8337746B2,2007-06-21,2012-12-25,Cooper Paul V,Transferring molten metal from one structure to another
    US9410744B2,2010-05-12,2016-08-09,Molten Metal Equipment Innovations, Llc,Vessel transfer insert and system
    US8524146B2,2009-08-07,2013-09-03,Paul V. Cooper,Rotary degassers and components therefor
    US8444911B2,2009-08-07,2013-05-21,Paul V. Cooper,Shaft and post tensioning device
    US10428821B2,2009-08-07,2019-10-01,Molten Metal Equipment Innovations, Llc,Quick submergence molten metal pump
    US8535603B2,2009-08-07,2013-09-17,Paul V. Cooper,Rotary degasser and rotor therefor
    US9108244B2,2009-09-09,2015-08-18,Paul V. Cooper,Immersion heater for molten metal
    US9903383B2,2013-03-13,2018-02-27,Molten Metal Equipment Innovations, Llc,Molten metal rotor with hardened top
    US9011761B2,2013-03-14,2015-04-21,Paul V. Cooper,Ladle with transfer conduit
    US10052688B2,2013-03-15,2018-08-21,Molten Metal Equipment Innovations, Llc,Transfer pump launder system
    US10947980B2,2015-02-02,2021-03-16,Molten Metal Equipment Innovations, Llc,Molten metal rotor with hardened blade tips
    CA3015659A1                      *,2015-12-21,2017-06-29,Karl E. Greer,Post mounting assembly and method for molten metal pump
    US10267314B2,2016-01-13,2019-04-23,Molten Metal Equipment Innovations, Llc,Tensioned support shaft and other molten metal devices
    CN106435080B                      *,2016-09-27,2019-01-08,东北大学,A kind of vortex stirring method for melting reduction iron making
    US11149747B2,2017-11-17,2021-10-19,Molten Metal Equipment Innovations, Llc,Tensioned support post and other molten metal devices
    US11063661B2                      *,2018-06-06,2021-07-13,Kymeta Corporation,Beam splitting hand off systems architecture
    US11358216B2,2019-05-17,2022-06-14,Molten Metal Equipment Innovations, Llc,System for melting solid metal
    US20230037016A1                      *,2019-12-09,2023-02-02,Pyrotek, Inc.,Molten lead scrap submergence apparatus

abstract
    A molten metal rotor receives and retains an end of a molten metal rotor shaft. The rotor shaft has one or more projections at the end received in the rotor. The rotor has an inner cavity, a top surface with an opening leading to the inner cavity, and at least one abutment. The opening includes one or more portions for allowing each projection to pass through the opening and into the inner cavity. The rotor and/or shaft are then rotated so at least one of the outwardly-extending projections is under the top surface of the rotor and is against an abutment. A molten metal pump, rotary degasser scrap melter or other device used in molten metal may utilize a rotor/shaft combination as disclosed herein.
title
    Rotor and rotor shaft for molten metal
similar_document
12
    Publication,Publication Date,Title
    US20220213895A1,2022-07-07,Rotor and rotor shaft for molten metal
    US8178037B2,2012-05-15,System for releasing gas into molten metal
    US8361379B2,2013-01-29,Gas transfer foot
    US7470392B2,2008-12-30,Molten metal pump components
    US7402276B2,2008-07-22,Pump with rotating inlet
    US10322451B2,2019-06-18,Transfer pump launder system
    US10641279B2,2020-05-05,Molten metal rotor with hardened tip
    US8475708B2,2013-07-02,Support post clamps for molten metal pumps
    US7731891B2,2010-06-08,Couplings for molten metal devices
    US6398525B1,2002-06-04,Monolithic rotor and rigid coupling
    US5951243A,1999-09-14,Rotor bearing system for molten metal pumps

patent_application
3
    Application,Priority date,Filing date,Relation,Title
    US14/719,166,2013-03-12,2015-05-21,Continuation,System and method of unloading a container of items
    US14/791,166,2014-07-02,2015-07-02,Continuation,Rotor and rotor shaft for molten metal

patent_priority_application
3
    Application,Priority date,Filing date,Title
    US15/916,089,2014-07-02,2018-03-08,Rotor and rotor shaft for molten metal
    US17/703,912,2014-07-02,2022-03-24,Rotor and rotor shaft for molten metal

inventor_number
    2
classfication_nums
    15
classfication_items
79
    F
    F,0,4
    F,0,4,D
    F,0,4,D,7,/,0,0
    F,0,4,D,7,/,0,2
    F,0,4,D,7,/,0,6
    F,0,4,D,7,/,0,6,5
    C
    C,2,2
    C,2,2,B
    C,2,2,B,7,/,0,0
    C,2,2,B,7,/,0,0,1
    C,2,2,B,7,/,0,0,3
    C
    C,2,2
    C,2,2,B
    C,2,2,B,9,/,0,0
    F
    F,0,4
    F,0,4,D
    F,0,4,D,2,9,/,0,0
    F,0,4,D,2,9,/,1,8
    F,0,4,D,2,9,/,2,0
    F
    F,1,6
    F,1,6,D
    F,1,6,D,1,/,0,0
    F,1,6,D,1,/,0,2
    F
    F,1,6
    F,1,6,D
    F,1,6,D,1,/,0,0
    F,1,6,D,1,/,1,0
    F
    F,2,7
    F,2,7,D
    F,2,7,D,1,7,/,0,0
    F,2,7,D,1,7,/,0,0,1
    F,2,7,D,1,7,/,0,0,2
    F
    F,2,7
    F,2,7,D
    F,2,7,D,2,7,/,0,0
    F,2,7,D,2,7,/,0,0,5
    F
    F,2,7
    F,2,7,D
    F,2,7,D,3,/,0,0
    F,2,7,D,3,/,1,4
    F
    F,2,7
    F,2,7,D
    F,2,7,D,3,/,0,0
    F,2,7,D,3,/,1,6
    F
    F,2,7
    F,2,7,D
    F,2,7,D,9,9,/,0,0
    F
    F,1,6
    F,1,6,C
    F,1,6,C,3,/,0,0
    F,1,6,C,3,/,0,2
    F
    F,1,6
    F,1,6,D
    F,1,6,D,1,/,0,0
    F,1,6,D,1,/,1,0
    F,1,6,D,2,0,0,1,/,1,0,2
    F
    F,2,7
    F,2,7,D
    F,2,7,D,9,9,/,0,0
    F,2,7,D,2,0,9,9,/,0,0,8,3
    Y
    Y,0,2
    Y,0,2,P
    Y,0,2,P,1,0,/,0,0
    Y,0,2,P,1,0,/,2,0

application_events
9
    2018-03-08,Application filed by Molten Metal Equipment Innovations LLC
    2018-03-08,Priority to US15/916,089
    2018-07-12,Publication of US20180195513A1
    2021-01-07,Assigned to MOLTEN METAL EQUIPMENT INNOVATIONS, LLC
    2022-03-24,Priority to US17/703,912
    2022-03-29,Application granted
    2022-03-29,Publication of US11286939B2
    Status,Active
    2036-03-14,Adjusted expiration

active_area
6
    U,S
    U,S
    U,S
    U,S
    U,S
    U,S

not_active_area
0

patent_application_claiming_priority
4
    Application,Filing date,Title
    US201462020332P,2014-07-02,
    US14/791,166,2015-07-02,Rotor and rotor shaft for molten metal
    US15/916,089,2018-03-08,Rotor and rotor shaft for molten metal

legal_event
12
    Date,Code,Title,Description
    2018-03-08,FEPP,Fee payment procedure,Free format text: ENTITY STATUS SET TO UNDISCOUNTED (ORIGINAL EVENT CODE: BIG.); ENTITY STATUS OF PATENT OWNER: SMALL ENTITY
    2018-04-03,FEPP,Fee payment procedure,Free format text: ENTITY STATUS SET TO SMALL (ORIGINAL EVENT CODE: SMAL); ENTITY STATUS OF PATENT OWNER: SMALL ENTITY
    2018-06-18,STPP,Information on status: patent application and granting procedure in general,Free format text: DOCKETED NEW CASE - READY FOR EXAMINATION
    2021-01-07,AS,Assignment,Owner name: MOLTEN METAL EQUIPMENT INNOVATIONS, LLC, OHIOFree format text: ASSIGNMENT OF ASSIGNORS INTEREST;ASSIGNOR:COOPER, PAUL V.;REEL/FRAME:054851/0290Effective date: 20160222
    2021-02-23,STPP,Information on status: patent application and granting procedure in general,Free format text: NON FINAL ACTION MAILED
    2021-05-29,STPP,Information on status: patent application and granting procedure in general,Free format text: RESPONSE TO NON-FINAL OFFICE ACTION ENTERED AND FORWARDED TO EXAMINER
    2021-06-09,STPP,Information on status: patent application and granting procedure in general,Free format text: FINAL REJECTION MAILED
    2021-10-04,STPP,Information on status: patent application and granting procedure in general,Free format text: DOCKETED NEW CASE - READY FOR EXAMINATION
    2021-10-27,STPP,Information on status: patent application and granting procedure in general,Free format text: NOTICE OF ALLOWANCE MAILED -- APPLICATION RECEIVED IN OFFICE OF PUBLICATIONS
    2022-02-23,STPP,Information on status: patent application and granting procedure in general,Free format text: PUBLICATIONS -- ISSUE FEE PAYMENT VERIFIED
    2022-03-09,STCF,Information on status: patent grant,Free format text: PATENTED CASE

